14:02:13.454122 common-main.c:55             | d0 | main                     | version      |     |           |           |              | 2.43.0.vfs.0.0
14:02:13.454122 common-main.c:56             | d0 | main                     | start        |     |  0.015968 |           |              | git.exe pull
14:02:13.469800 ..._win32_process_info.c:120 | d0 | main                     | data_json    | r0  |  0.027463 |  0.027463 | process      | windows/ancestry:["git.exe","cmd.exe","explorer.exe"]
14:02:13.469800 repository.c:143             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:C:/Users/liuwn/Desktop/Git-2.43.0.vfs.0.0-64-bit/00/GendoxData/src
14:02:13.469800 git.c:536                    | d0 | main                     | cmd_name     |     |           |           |              | pull (pull)
14:02:13.469800 read-cache.c:2418            | d0 | main                     | region_enter | r1  |  0.031338 |           | index        | label:do_read_index .git/index
14:02:13.469800 read-cache.c:2066            | d0 | th01:load_index_extensio | thread_start |     |  0.034628 |           |              | 
14:02:13.469800 read-cache.c:1770            | d0 | th01:load_index_extensio | region_enter |     |  0.034819 |           | index        | label:read/extension/cache_tree
14:02:13.469800 cache-tree.c:669             | d0 | th01:load_index_extensio | region_enter | r1  |  0.034881 |           | cache_tree   | ..label:read
14:02:13.469800 read-cache.c:2149            | d0 | th02:load_cache_entries  | thread_start |     |  0.034751 |           |              | 
14:02:13.469800 read-cache.c:2149            | d0 | th03:load_cache_entries  | thread_start |     |  0.034937 |           |              | 
14:02:13.469800 read-cache.c:2149            | d0 | th04:load_cache_entries  | thread_start |     |  0.035056 |           |              | 
14:02:13.469800 read-cache.c:2149            | d0 | th05:load_cache_entries  | thread_start |     |  0.035192 |           |              | 
14:02:13.469800 read-cache.c:2149            | d0 | th06:load_cache_entries  | thread_start |     |  0.035249 |           |              | 
14:02:13.485322 cache-tree.c:671             | d0 | th01:load_index_extensio | region_leave | r1  |  0.045073 |  0.010192 | cache_tree   | ..label:read
14:02:13.485322 read-cache.c:1772            | d0 | th01:load_index_extensio | data         |     |  0.045178 |  0.010359 | index        | ..read/extension/cache_tree/bytes:767846
14:02:13.485322 read-cache.c:1773            | d0 | th01:load_index_extensio | region_leave |     |  0.045197 |  0.010378 | index        | label:read/extension/cache_tree
14:02:13.485322 fsmonitor.c:96               | d0 | th01:load_index_extensio | data         |     |  0.045232 |  0.010604 | index        | extension/fsmn/read/token:builtin:0.2436.20231225T055355.657020Z:4
14:02:13.485322 read-cache.c:2068            | d0 | th01:load_index_extensio | thread_exit  |     |  0.045333 |  0.010705 |              | 
14:02:13.516479 read-cache.c:2158            | d0 | th05:load_cache_entries  | thread_exit  |     |  0.069464 |  0.034272 |              | 
14:02:13.516479 read-cache.c:2158            | d0 | th03:load_cache_entries  | thread_exit  |     |  0.071436 |  0.036499 |              | 
14:02:13.516479 read-cache.c:2158            | d0 | th04:load_cache_entries  | thread_exit  |     |  0.073253 |  0.038197 |              | 
14:02:13.516479 read-cache.c:2158            | d0 | th02:load_cache_entries  | thread_exit  |     |  0.074742 |  0.039991 |              | 
14:02:13.516479 read-cache.c:2158            | d0 | th06:load_cache_entries  | thread_exit  |     |  0.076456 |  0.041207 |              | 
14:02:13.516479 read-cache.c:2367            | d0 | main                     | data         | r1  |  0.083318 |  0.051980 | index        | ..read/version:4
14:02:13.516479 read-cache.c:2369            | d0 | main                     | data         | r1  |  0.083367 |  0.052029 | index        | ..read/cache_nr:1074121
14:02:13.516479 read-cache.c:2423            | d0 | main                     | region_leave | r1  |  0.083404 |  0.052066 | index        | label:do_read_index .git/index
14:02:13.547848 fsmonitor-ipc.c:84           | d0 | main                     | region_enter |     |  0.111531 |           | fsm_client   | label:query
14:02:13.547848 fsmonitor-ipc.c:85           | d0 | main                     | data         |     |  0.111604 |  0.000073 | fsm_client   | ..query/command:builtin:0.2436.20231225T055355.657020Z:4
14:02:13.547848 ...imple-ipc/ipc-win32.c:206 | d0 | main                     | region_enter |     |  0.111634 |           | ipc-client   | ..label:try-connect
