14:27:41.735089 common-main.c:49             | d0 | main                     | version      |     |           |           |              | 2.36.0.vfs.0.0
14:27:41.735089 common-main.c:50             | d0 | main                     | start        |     |  0.008391 |           |              | git.exe pull
14:27:41.750742 ..._win32_process_info.c:118 | d0 | main                     | data_json    | r0  |  0.016253 |  0.016253 | process      | windows/ancestry:["git.exe","cmd.exe","explorer.exe"]
14:27:41.750742 repository.c:136             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:C:/Users/liuwn/Desktop/Git-2.36.0.vfs.0.0-64-bit/00/GendoxData/src
14:27:41.750742 git.c:532                    | d0 | main                     | cmd_name     |     |           |           |              | pull (pull)
14:27:41.750742 read-cache.c:2468            | d0 | main                     | region_enter | r1  |  0.024392 |           | index        | label:do_read_index .git/index
14:27:41.750742 read-cache.c:2128            | d0 | th01:load_index_extensio | thread_start |     |  0.024919 |           |              | 
14:27:41.750742 read-cache.c:1853            | d0 | th01:load_index_extensio | region_enter |     |  0.024965 |           | index        | label:read/extension/cache_tree
14:27:41.750742 cache-tree.c:688             | d0 | th01:load_index_extensio | region_enter | r1  |  0.024978 |           | cache_tree   | ..label:read
14:27:41.750742 read-cache.c:2211            | d0 | th02:load_cache_entries  | thread_start |     |  0.025016 |           |              | 
14:27:41.750742 read-cache.c:2211            | d0 | th03:load_cache_entries  | thread_start |     |  0.025139 |           |              | 
14:27:41.750742 read-cache.c:2211            | d0 | th04:load_cache_entries  | thread_start |     |  0.025256 |           |              | 
14:27:41.750742 read-cache.c:2211            | d0 | th05:load_cache_entries  | thread_start |     |  0.025383 |           |              | 
14:27:41.750742 read-cache.c:2211            | d0 | th06:load_cache_entries  | thread_start |     |  0.025461 |           |              | 
14:27:41.766368 cache-tree.c:690             | d0 | th01:load_index_extensio | region_leave | r1  |  0.035000 |  0.010022 | cache_tree   | ..label:read
14:27:41.766368 read-cache.c:1855            | d0 | th01:load_index_extensio | data         |     |  0.035090 |  0.010125 | index        | ..read/extension/cache_tree/bytes:767846
14:27:41.766368 read-cache.c:1856            | d0 | th01:load_index_extensio | region_leave |     |  0.035110 |  0.010145 | index        | label:read/extension/cache_tree
14:27:41.766368 fsmonitor.c:94               | d0 | th01:load_index_extensio | data         |     |  0.035140 |  0.010221 | index        | extension/fsmn/read/token:builtin:0.9148.20231225T061501.313149Z:4
